Date Of Transaction,Transaction Type,Transaction Description,Debits,Credits,Balance,Currency
30 Jul 2026,"Purchase","Purchase RAGUSA MEAT MARKET  BATON ROUGE     LA USD","0.65","","0.02","USD"
26 Jul 2026,"Purchase","Purchase RITE STOP FOOD STOR BATON ROUGE     LA USD","14.38","","0.67","USD"
25 Jul 2026,"Purchase","Purchase RITE STOP FOOD STOR BATON ROUGE     LA USD","3.83","","15.05","USD"
24 Jul 2026,"Cash Withdrawal","Domestic ATM Withdrawal 7270 GREENWELL RD   BATON ROUGE     LA USD","23","","17.05","USD"
24 Jul 2026,"Fee","Domestic ATM Withdrawal Fee","2","","15.05","USD"
24 Jul 2026,"Purchase","Purchase MUTHANNA INC        BATON ROUGE     LA USD","11.47","","40.05","USD"
24 Jul 2026,"Purchase","Purchase GREENWELL QUICK STO BATON ROUGE     LA USD","1.33","","40.05","USD"
24 Jul 2026,"Purchase","Purchase DOLLAR GENERAL #180 BATON ROUGE     LA USD","1.11","","43.88","USD"
24 Jul 2026,"Purchase","Purchase RITE STOP FOOD STOR BATON ROUGE     LA USD","12.31","","43.88","USD"
23 Jul 2026,"Deposit","RDDF PREPAID DEPOSIT on 07/23 Ref# 1583803996","","70","70.1","USD"
21 Jul 2026,"Purchase","Purchase RITE STOP FOOD STOR BATON ROUGE     LA USD","5","","0.1","USD"
21 Jul 2026,"Purchase","Purchase ROSEMARY MART       BATON ROUGE     LA USD","9.9","","0.1","USD"
20 Jul 2026,"Cash Withdrawal","Domestic ATM Withdrawal 6055 GREENWELL ST   BATON ROUGE     LA USD","83","","17","USD"
20 Jul 2026,"Fee","Domestic ATM Withdrawal Fee","2","","15","USD"
20 Jul 2026,"Deposit","RDDF PREPAID DEPOSIT on 07/20 Ref# 1583303969","","100","100","USD"
