App name,Status,Publish date,Connected boards,User,App viewers,Build AI credits,Runtime AI credits,# prompts,App link
Wallet Ledger,Draft,-,Accounts; Transactions,Jacquel LChuad,1,82.4285,-,1,https://jacquellchuads-team.monday.com/custom_objects/18427901217
GDPR Submissions,Draft,-,Asset Submissions,Jacquel LChuad,-,119.635,-,2,https://jacquellchuads-team.monday.com/custom_objects/18427898192
Creative Asset Approvals,Draft,-,Marketing Asset Approval,Jacquel LChuad,-,97,-,3,https://jacquellchuads-team.monday.com/boards/18427864793/views/276989575
FinanceFlow,Draft,-,-,Jacquel LChuad,1,86,-,1,https://jacquellchuads-team.monday.com/custom_objects/18427855686
Enrollment Tracker,Draft,-,-,Jacquel LChuad,1,33,-,1,https://jacquellchuads-team.monday.com/custom_objects/18427835557
<UNKNOWN>,Draft,-,-,Jacquel LChuad,-,-,-,1,
Wallet Ledger,Draft,-,-,Jacquel LChuad,1,74,-,1,https://jacquellchuads-team.monday.com/custom_objects/18427783603
Security Monitor,Draft,-,Items Board,Jacquel LChuad,1,118,-,3,https://jacquellchuads-team.monday.com/custom_objects/18427783152
<UNKNOWN>,Draft,-,Products; Customers; Orders,Jacquel LChuad,-,25,-,2,
CCTV Monitor,Draft,-,CCTV Cameras - Baton Rouge,Jacquel LChuad,1,841,-,22,https://jacquellchuads-team.monday.com/custom_objects/18427776934
